idx,wer_low,wer_med,wer_high
0,0.2235294117647059,0.2235294117647059,0.2235294117647059
1,0.0625,0.0625,0.1375
2,0.25396825396825395,0.23809523809523808,0.25396825396825395
3,0.08974358974358974,0.10256410256410256,0.1282051282051282
4,0.08108108108108109,0.05405405405405406,0.08108108108108109
5,0.19718309859154928,0.19718309859154928,0.18309859154929578
6,0.03773584905660377,0.03773584905660377,0.05660377358490566
7,0.04285714285714286,0.04285714285714286,0.05714285714285714
8,0.0547945205479452,0.0547945205479452,0.0547945205479452
9,0.21666666666666667,0.21666666666666667,0.23333333333333334
10,0.2727272727272727,0.2857142857142857,0.2857142857142857
11,0.15384615384615385,0.16666666666666666,0.15384615384615385
12,0.0875,0.0875,0.1
13,0.11538461538461539,0.11538461538461539,0.11538461538461539
14,0.09210526315789473,0.05263157894736842,0.09210526315789473
15,0.2222222222222222,0.2361111111111111,0.2222222222222222
16,0.12048192771084337,0.12048192771084337,0.12048192771084337
17,0.14285714285714285,0.17857142857142858,0.14285714285714285
18,0.14285714285714285,0.14285714285714285,0.15584415584415584
19,0.2361111111111111,0.25,0.25
20,0.42105263157894735,0.42105263157894735,0.40789473684210525
21,0.047619047619047616,0.09523809523809523,0.07142857142857142
22,0.1267605633802817,0.23943661971830985,0.2112676056338028
23,0.08641975308641975,0.08641975308641975,0.08641975308641975
24,0.07407407407407407,0.07407407407407407,0.06172839506172839
25,0.06097560975609756,0.06097560975609756,0.06097560975609756
26,0.075,0.0625,0.075
27,0.10526315789473684,0.10526315789473684,0.13157894736842105
28,0.3170731707317073,0.2804878048780488,0.2682926829268293
29,0.12195121951219512,0.10975609756097561,0.13414634146341464
30,0.19736842105263158,0.17105263157894737,0.2236842105263158
31,0.06976744186046512,0.06976744186046512,0.06976744186046512
32,0.17142857142857143,0.17142857142857143,0.18571428571428572
33,0.025,0.05,0.025
34,0.16304347826086957,0.16304347826086957,0.18478260869565216
35,0.16483516483516483,0.1978021978021978,0.1978021978021978
36,0.3,0.3,0.3
37,0.16393442622950818,0.14754098360655737,0.14754098360655737
38,0.1797752808988764,0.2696629213483146,0.21348314606741572
39,0.15,0.1375,0.125
40,0.5176470588235295,0.49411764705882355,0.49411764705882355
41,0.189873417721519,0.189873417721519,0.189873417721519
42,0.1590909090909091,0.17045454545454544,0.18181818181818182
43,0.1282051282051282,0.11538461538461539,0.14102564102564102
44,0.046875,0.03125,0.046875
45,0.32967032967032966,0.3516483516483517,0.34065934065934067
46,0.29069767441860467,0.26744186046511625,0.32558139534883723
47,0.27692307692307694,0.2923076923076923,0.2923076923076923
48,0.18181818181818182,0.19696969696969696,0.18181818181818182
49,0.16304347826086957,0.16304347826086957,0.17391304347826086
50,0.25806451612903225,0.21505376344086022,0.26881720430107525
51,0.09090909090909091,0.09090909090909091,0.1038961038961039
52,0.08955223880597014,0.13432835820895522,0.08955223880597014
53,0.07575757575757576,0.07575757575757576,0.045454545454545456
54,0.11842105263157894,0.09210526315789473,0.13157894736842105
55,0.17582417582417584,0.18681318681318682,0.18681318681318682
56,0.21153846153846154,0.21153846153846154,0.15384615384615385
57,0.07407407407407407,0.08641975308641975,0.1111111111111111
58,0.1724137931034483,0.1724137931034483,0.25287356321839083
59,0.0945945945945946,0.0945945945945946,0.0945945945945946
60,0.11764705882352941,0.11764705882352941,0.11764705882352941
61,0.2073170731707317,0.23170731707317074,0.24390243902439024
62,0.28378378378378377,0.28378378378378377,0.24324324324324326
